id,question,answer
9298,What nationality is the performer of song Fiesta Buena?,"""Fiesta Buena"" is a 2012 international hit song by DJ Mam's in Spanish and is credited to DJ Mam's featuring Luis Guisao, Soldat Jahman and Beto Perez."
9299,Who was born first out of Otto Schimek and Yip Ho Nung?,"Otto Schimek( May 5, 1925 – November 14, 1944) was an Austrian soldier in the German Wehrmacht during World War II who served as a member of a firing squad."
9300,"Who lived longer, Amos Tuck or Hans Döbrich?",Hans Döbrich( 24 March 1916 – 6 April 1984) was a former Luftwaffe fighter ace and recipient of the Knight's Cross of the Iron Cross during World War II.
9301,Who is Argishti I Of Urartu's grandchild?,He was succeeded by his son Sarduri II.
9302,Where was the place of death of the director of film Soho Incident?,"Soho Incident, released in the United States as Spin a Dark Web, is a 1956 British film noir directed by Vernon Sewell and starring Faith Domergue and Lee Patterson."
9303,Where was the director of film The Countess (Film) born?,"She studied filmmaking at New York University's Tisch School of the Arts and has directed, written, or acted in more than 30 films, including ""Europa Europa"" (1990), ""Voyager"" (1991),  (1993), the ""Before"" trilogy (1995, 2004, 2013), ""An American Werewolf in Paris"" (1997), and ""2 Days in Paris"" (2007)."
9304,"Who is Richard, Son Of William The Conqueror's paternal grandfather?","Richard of Normandy (c. 1054 to between 1069 and 1075) was the second son of William the Conqueror, King of England, and Matilda of Flanders."
9305,What nationality of the company that published The Seer (Periodical)?,The Seer was an official periodical of The Church of Jesus Christ of Latter-day Saints (LDS Church) which first appeared in 1853 and was published throughout 1854.
9306,Where was the director of film The Big Animal born?,"The Big Animal  is a 2000 Polish film directed by Jerzy Stuhr from a screenplay by Krzysztof Kieślowski, based on a short story ""Wielbłąd"" (1995) by Kazimierz Orłoś."
9307,"Which film was released earlier, Holy Land Hardball or Three Missing Links?","Three Missing Links is a 1938 short subject directed by Jules White starring American slapstick comedy team The Three Stooges( Moe Howard, Larry Fine and Curly Howard)."
9308,"Which film has the director who died earlier, Against A Crooked Sky or Mitrea Cocor?","Against a Crooked Sky is a 1975 American Western film directed by Earl Bellamy and starring Richard Boone, Stewart Petersen, and Henry Wilcoxon."
9309,"Who is Sir Mordaunt Martin, 4Th Baronet's paternal grandfather?","Sir Mordaunt Martin, 4th Baronet (c. 1740 – 24 September 1815) was son of Sir Roger Martin, 3rd Baronet and Sophia Mordaunt."
9310,"Did the movies The Shadow Of Evil and The Lone Wolf Takes A Chance, originate from the same country?","The Shadow of Evil is a 1921 British silent crime film directed by George A. Cooper and James Reardon and starring Mary Dibley, Reginald Fox and Cecil Humphreys."
9311,Where was the place of death of the composer of film Madhuvidhu?,M. B. Sreenivasan died suddenly of a heart attack while conducting a choir in the Lakshadweep islands on 9 March 1988.
9312,Where did Karl Eduard Zachariae Von Lingenthal's father study?,"Von Lingenthal received his early education at the famous public school of St. Afra in Meissen and later studied philosophy, history, mathematics and jurisprudence at the University of Leipzig."
9313,What is the date of death of Tsarevna Catherine Ivanovna Of Russia's mother?,"Tsarevna Catherine Ivanovna of Russia (20 October 1691 – 14 June 1733) was a daughter of Tsar Ivan V and Praskovia Saltykova, eldest sister of Empress Anna of Russia and niece of Peter the Great."
9314,Do both directors of films The Floating Dutchman and The Living And The Dead (2006 Film) have the same nationality?,"The Living and the Dead is a 2006 British drama film written and directed by Simon Rumley, starring Leo Bill, Kate Fahy and Roger Lloyd- Pack."
9315,Who is the paternal grandfather of John Vanden-Bempde-Johnstone?,"Vanden-Bempde-Johnstone was the son of Sir Richard Vanden-Bempde-Johnstone, 1st Baronet."
9316,"When did Archibald Acheson, 4Th Earl Of Gosford's father die?","The son of Archibald Acheson, 3rd Earl of Gosford, he was born at Worlingham Hall, Suffolk, in 1841, and succeeded to the earldom upon the death of his father in 1864."
9317,"Which film was released more recently, The Thing About Styx or Želary?","The Thing About Styx is a 1942 German comedy crime film directed by Karl Anton and starring Laura Solari, Viktor de Kowa and Margit Symo."
9318,Which award the director of film Omkara (2006 Film) got?,"Omkara, is a 2006 Indian crime drama film adapted from Shakespeare’s ""Othello"", co-written and directed by Vishal Bhardwaj."
9319,Where does the director of film Scarecrow (1984 Film) work at?,"Rolan Antonovich Bykov (October 12, 1929 – October 6, 1998) was a Soviet and Russian actor, theatre and film director, screenwriter, educator at High Courses for Scriptwriters and Film Directors, poet and song writer, as well as a politician and a banker."
9320,"Which film came out earlier, Locked In (Film) or Angel'S Rage?","In is a 2010 independent thriller drama film directed by Suri Krishnamma and written by Ronnie Christensen, starring Ben Barnes, Sarah Roemer and Eliza Dushku."
9321,Where did Ermengarde Of Tuscany's mother die?,"Bertha (863-8 – March 925 in Lucca) was countess of Arles by marriage to Theobald of Arles, and margravine of Tuccany by marriage to Adalbert II of Tuscany."
9322,Do both films The Fighting Sap and 24 Hour Psycho have the directors from the same country?,"The Fighting Sap is a 1924 American silent western film directed by Albert S. Rogell and starring Fred Thomson, Hazel Keener and Wilfred Lucas."
9323,"Which film has the director born earlier, Swarg Narak or Antardhan?","Dasari Narayana Rao( 4 May 1947 – 30 May 2017) was an Indian film director, producer, screenwriter, dialogue writer, actor, lyricist, and politician known for his works predominantly in Telugu cinema, Television, and Bollywood."
9324,"Where was the father of Adalbert Ii, Margrave Of Tuscany born?","Adalbert II (c. 875–915), called the Rich, son and successor of Adalbert I, Margrave of Tuscany, and grandson of Boniface II, was much concerned in the troubles of Lombardy, at a time when so many princes were contending for the wreckage of the Carolingian Empire."
9325,Where was the place of death of Bonne Of Bourbon's father?,"Bonne of Bourbon (1341 – 19 January 1402) was a daughter of Peter I, Duke of Bourbon, and Isabella of Valois, and hence a sister of Joanna of Bourbon."
9326,"Which film was released first, Aas Ka Panchhi or Phoolwari?",Aas Ka Panchhi is a 1961 Hindi movie produced by J. Om Prakash.
9327,What is the place of birth of the director of film The Great Citizen?,"Fridrikh Markovich Ermler (born Vladimir Markovich Breslav; 13 May 1898 in Rēzekne – 12 July 1967 in Leningrad) was a Soviet film director, actor, and screenwriter."
9328,Who is Frederick Dickens's father?,"Frederick William Dickens (4 July 1820 – 20 October 1868) was the son of John and Elizabeth Dickens and was Charles Dickens's younger brother, who lived with Charles when he moved on to Furnival's Inn in 1834."
9329,Who is Bertha Of Hereford's maternal grandfather?,"Bertha of Hereford, also known as Bertha de Pitres (born c. 1130), was the daughter of Miles de Gloucester, 1st Earl of Hereford, and a wealthy heiress, Sibyl de Neufmarché."
9330,When was Nick Kellogg's father born?,"Clark Clifton Kellogg, Jr. (born July 2, 1961) is the former VP of player relations for the Indiana Pacers, the lead college basketball analyst for CBS Sports, and a former player in the National Basketball Association (NBA)."
9331,What is the place of birth of the director of film Into The Grizzly Maze?,"Into the Grizzly Maze (originally titled Red Machine, then changed to Endangered and later to Grizzly), is an American action horror-thriller film directed by David Hackl and written by J.R. Reher."
9332,What is the place of birth of the director of film Vasantha Poornima?,"Hunsur Ramachandra Bhagyachandra , known mononymously as Bhargava, is an Indian film director who worked primarily in Kannada cinema."
9333,What nationality is the director of film Oļegs Un Aina?,"His film work spanned the period of Soviet occupation, during which he directed over 15 films, including the cult classics """
9334,"When did Salvador Bermúdez De Castro, 2Nd Duke Of Ripalda's father die?","He was born in Madrid, the son of Manuel Bermudez de Castro y Diez (1811–1870) a senator and Minister for the Interior and Foreign Affairs, and Maria de la Encarnacion O’Lawlor y Caballero (1830-1908), youngest daughter of Joseph O'Lawlor (1768–1850), an Irish-born Spanish general and governor of Granada."
9335,Where was the place of death of Duke Adam Of Württemberg's father?,Württemberg was born in Puławy to Duke Louis of Württemberg (1756–1817) and Princess Maria Anna Czartoryska (1768–1854).
9336,What is the place of birth of the director of film Evidence (1915 Film)?,Evidence is a 1915 silent film drama directed by and starring early film actor Edwin August and released by the World Film Company.
9337,Where did Rouben V. Ambartzumian's father die?,Ambartsumian founded the Byurakan Observatory in 1946.
9338,"Which film has the director who died earlier, Our Hearts Were Young And Gay (Film) or The Last Paradises: On The Track Of Rare Animals?","Eugen Schuhmacher( actually Eugen Josef Robert Schuhmacher)( August 4, 1906 – January 8, 1973) was a German zoologist and pioneer of animal documentaries."
9339,Who is Margaret Of Baux's father-in-law?,"Peter of Luxembourg (1390 – 31 August 1433) was a son of John of Luxembourg, Lord of Beauvoir, and his wife Marguerite of Enghien."
9340,"Which film has the director died first, The Handsome Fisherman or Chance At Heaven?","The Handsome Fisherman( Turkish: Balikçı Güzeli) is a 1953 Turkish adventure film directed by Baha Gelenbevi and starring Cüneyt Gökçer, Ayten Çankaya and Münir Özkul."
9341,"Who is older, Maurizio Acerbo or Elizabeth Sewell?","Elizabeth Sewell( March 9, 1919 – January 12, 2001) was a British- American critic, poet, novelist, and professor who often wrote about the connections between science and literature."
9342,Who is Maquiztzin's father-in-law?,"He was the son of Emperor Huitzilihuitl and Queen Cacamacihuatl, nephew of Emperor Itzcoatl, father of poet Macuilxochitzin, and brother of Emperors Chimalpopoca and Moctezuma I."
9343,"Which film was released earlier, Commando Leopard or Invasion Of Astro-Monster?",""" Invasion of Astro- Monster"" was released in Japan on December 19, 1965 and received a theatrical release in the United States on July 29, 1970 by Maron Films as Monster Zero, on a double feature with"" The War of the Gargantuas""."
